Year,Annual,PctDecs,PctAvgs
1983,99.6,3.8,3.2
1984,103.9,3.9,4.3
1985,107.6,3.8,3.6
1986,109.6,1.1,1.9
1987,113.6,4.4,3.6
1988,118.3,4.4,4.1
1989,124.0,4.6,4.8
1990,130.7,6.1,5.4
1991,136.2,3.1,4.2
1992,140.3,2.9,3.0
1993,144.5,2.7,3.0
1994,148.2,2.7,2.6
1995,152.4,2.5,2.8
1996,156.9,3.3,3.0
1997,160.5,1.7,2.3
1998,163.0,1.6,1.6
1999,166.6,2.7,2.2
2000,172.2,3.4,3.4
2001,177.1,1.6,2.8
2002,179.9,2.4,1.6
2003,184.0,1.9,2.3
2004,188.9,3.3,2.7
2005,195.3,3.4,3.4
2006,201.6,2.5,3.2
2007,207.3,4.1,2.8
2008,215.3,0.1,3.8
2009,214.5,2.7,-0.4
2010,218.1,1.5,1.6
2011,224.9,3.0,3.2
2012,229.6,1.7,2.1
2013,233.0,1.5,1.5
2014,236.7,0.8,1.6
2015,238.6,,
