name,imdb_url,screentime,episodes,portrayed_by_name,portrayed_by_imdb_url
Tyrion Lannister,http://www.imdb.com/character/ch0146096/,293.3,54,Peter Dinklage,http://www.imdb.com/name/nm0227759/
Jon Snow,http://www.imdb.com/character/ch0155777/,268.15,49,Kit Harington,http://www.imdb.com/name/nm3229685/
Daenerys Targaryen,http://www.imdb.com/character/ch0158597/,221.3,49,Emilia Clarke,http://www.imdb.com/name/nm3592338/
Cersei Lannister,http://www.imdb.com/character/ch0159526/,201.45,52,Lena Headey,http://www.imdb.com/name/nm0372176/
Sansa Stark,http://www.imdb.com/character/ch0158137/,199.3,47,Sophie Turner,http://www.imdb.com/name/nm3849842/
Arya Stark,http://www.imdb.com/character/ch0158604/,189.15,47,Maisie Williams,http://www.imdb.com/name/nm3586035/
Jaime Lannister,http://www.imdb.com/character/ch0158527/,162.3,43,Nikolaj Coster-Waldau,http://www.imdb.com/name/nm0182666/
Theon Greyjoy,http://www.imdb.com/character/ch0158526/,123.3,39,Alfie Allen,http://www.imdb.com/name/nm0654295/
Samwell Tarly,http://www.imdb.com/character/ch0244961/,121.45,37,John Bradley,http://www.imdb.com/name/nm4263213/
Jorah Mormont,http://www.imdb.com/character/ch0158221/,117.3,42,Iain Glen,http://www.imdb.com/name/nm0322513/
Petyr 'Littlefinger' Baelish,http://www.imdb.com/character/ch0245982/,102.15,35,Aidan Gillen,http://www.imdb.com/name/nm0318821/
Eddard 'Ned' Stark,http://www.imdb.com/character/ch0154681/,99.45,16,Sean Bean,http://www.imdb.com/name/nm0000293/
Brienne of Tarth,http://www.imdb.com/character/ch0254503/,89.3,32,Gwendoline Christie,http://www.imdb.com/name/nm3729225/
Davos Seaworth,http://www.imdb.com/character/ch0255396/,89.3,29,Liam Cunningham,http://www.imdb.com/name/nm0192377/
Bran Stark,http://www.imdb.com/character/ch0234897/,86,30,Isaac Hempstead Wright,http://www.imdb.com/name/nm3652842/
Catelyn Stark,http://www.imdb.com/character/ch0145135/,82.45,26,Michelle Fairley,http://www.imdb.com/name/nm0265610/
Lord Varys,http://www.imdb.com/character/ch0249636/,81.45,36,Conleth Hill,http://www.imdb.com/name/nm0384152/
Tywin Lannister,http://www.imdb.com/character/ch0242185/,78.15,27,Charles Dance,http://www.imdb.com/name/nm0001097/
Margaery Tyrell,http://www.imdb.com/character/ch0251974/,78,26,Natalie Dormer,http://www.imdb.com/name/nm1754059/
Robb Stark,http://www.imdb.com/character/ch0158596/,77.45,21,Richard Madden,http://www.imdb.com/name/nm0534635/
Stannis Baratheon,http://www.imdb.com/character/ch0250897/,73.15,24,Stephen Dillane,http://www.imdb.com/name/nm0226820/
