Campname,Outcomes Dropdown,Total PPE
YES PREP NORTH FOREST,0.52,10370.4461
YES PREP - SOUTHWEST,0.6,10797.44293
YES PREP - SOUTHEAST,0.61,11154.55205
YES PREP - NORTHSIDE,0.41,10446.74662
YES PREP - NORTH CENTRAL,0.63,10375.16762
YES PREP - GULFTON,0.49,10202.50931
YES PREP - EAST END,0.52,10366.64927
YES PREP - BRAYS OAKS,0.54,10803.16959
YES PREP - 5TH WARD,0.49,11079.74022
VILLAGE TECH SCHOOLS,0.4,7492.938959
VANGUARD REMBRANDT,0.57,10518.62107
VANGUARD MOZART,0.53,9974.59828
VANGUARD BEETHOVEN,0.58,8709.595365
UPLIFT HEIGHTS PREPARATORY PRI,0.35,8599.48775
UNIVERSAL ACADEMY - COPPELL,0.75,7770.382213
TRINITY BASIN PREPARATORY,0.45,9532.449999
TRINITY BASIN PREPARATORY,0.4,7846.959761
TLC ACADEMY,0.49,9237.849532
SCHOOL OF SCIENCE AND TECHNOLOGY C,0.47,9050.614716
ODYSSEY ACADEMY - GALVESTON,0.33,9361.981721
NEWMAN INTERNATIONAL AT CEDAR HILL,0.4,7082.138927
MERIDIAN WORLD SCHOOL LLC,0.66,8028.914442
LIFE SCHOOL RED OAK,0.45,8165.067327
LIFE SCHOOL OAK CLIFF,0.26,10194.75201
LIFE H S WAXAHACHIE,0.57,11304.60092
LEGACY PREP CHARTER ACADEMY MESQUI,0.29,7696.112375
LA ACADEMIA DE ESTRELLAS,0.35,8950.066606
KIPP LEGACY PREPARATORY,0.35,10057.35832
JUBILEE SAN ANTONIO,0.26,8192.507721
JUBILEE HIGHLAND HILLS,0.22,7652.875263
JUBILEE BROWNSVILLE,0.4,8008.91088
ISCHOOL VIRTUAL ACADEMY OF TEXAS,0.31,6204.051214
IMAGINE INTERNATIONAL ACADEMY OF N,0.75,7787.98862
ILTEXAS SAGINAW EL,0.37,7315.362261
ILTEXAS NORTH RICHLAND HILLS EL,0.37,7609.450953
ILTEXAS KELLER EL,0.63,7357.43604
ILTEXAS KATY EL,0.44,8012.884888
ILTEXAS GRAND PRAIRIE EL,0.4,7502.811945
ILTEXAS GARLAND EL,0.41,8024.062261
IDEA WESLACO PIKE ACADEMY,0.5,8135.275491
IDEA ACADEMY MISSION,0.52,8810.850434
HIGH POINT ACADEMY,0.39,8215.052283
HARMONY SCIENCE ACADEMY - DALLAS,0.44,9228.295484
HARMONY SCHOOL OF INNOVATION - EL,0.47,9467.067332
GREAT HEARTS NORTHERN OAKS,0.67,8038.317819
GEORGE GERVIN ACADEMY,0.37,12302.31392
GATEWAY COLLEGE PREPARATORY SCHOOL,0.71,6510.761258
FOUNDERS CLASSICAL ACADEMY,0.67,8161.081211
COMPASS ACADEMY CHARTER SCHOOL,0.53,6552.659498
BROOKS COLLEGIATE ACADEMY,0.35,10439.72467
BROOKS ACADEMY OF SCIENCE AND ENGI,0.27,8818.294065
BASIS SAN ANTONIO- SHAVANO CAMPUS,0.88,8293.728058
AUSTIN ACHIEVE NORTHEAST CAMPUS,0.34,8990.903783
ADVANTAGE ACADEMY,0.26,8428.467732
YES PREP - WHITE OAK,0.47,11183.07178
YES PREP - WEST,0.55,11260.4012
WESTLAKE ACADEMY,0.82,9590.890785
WAYSIDE REAL LEARNING ACADEMY,0.37,8168.775905
UTPB STEM ACADEMY,0.47,6959.181692
UPLIFT SUMMIT INTERNATIONAL PRI,0.45,10267.33686
UPLIFT PEAK PREPARATORY PRI,0.39,9945.526058
UPLIFT MERIDIAN SCHOOL,0.27,9792.180031
UPLIFT HAMPTON PREPARATORY PRI,0.37,10126.05059
UPLIFT EDUCATION - UPLIFT GRAND PR,0.38,9156.266763
UNIVERSAL ACADEMY,0.51,9297.363305
UME PREPARATORY ACADEMY,0.6,6998.771536
THE RHODES SCHOOL - HUMBLE,0.31,7560.133535
RESPONSIVE EDUCATION VIRTUAL LEARN,0.32,6659.651878
PEGASUS CHARTER H S,0.24,10344.88905
NYOS CHARTER SCHOOL,0.62,8578.198419
NEWMAN INTERNATIONAL ACADEMY OF AR,0.46,9545.629495
LIFE SCHOOL CEDAR HILL,0.31,8080.649391
LEADERSHIP PREP SCHOOL SECONDARY,0.64,7008.61745
KIPP ZENITH ACADEMY,0.32,9994.637966
KIPP UNIVERSITY PREP H S,0.51,10745.10351
KIPP UNITY PRI,0.75,9026.778315
KIPP UN MUNDO DUAL LANGUAGE ACADEM,0.23,9850.80119
KIPP SHINE PREP,0.67,9260.202507
KIPP SHARP PREP,0.67,9258.264762
KIPP PEACE EL,0.37,10458.09946
KIPP HOUSTON H S,0.68,11955.61501
KIPP EXPLORE ACADEMY,0.55,10003.32751
KIPP ESPERANZA DUAL LANGUAGE ACADE,0.19,9686.648285
KIPP DREAM PREP,0.38,9525.467434
KIPP CONNECT HOUSTON PRI,0.52,8918.906548
KIPP AUSTIN COLLEGIATE,0.64,12459.97457
JUBILEE WELLS BRANCH,0.35,8867.795253
INSPIRED VISION ACADEMY EL,0.3,9754.059686
ILTEXAS WESTPARK EL,0.37,8317.886203
ILTEXAS LANCASTER EL,0.24,8952.114682
ILTEXAS HOUSTON WINDMILL LAKES EL,0.3,8308.47806
ILTEXAS HOUSTON OREM EL,0.16,8808.801832
ILTEXAS GARLAND H S,0.6,10424.04634
ILTEXAS EAST FORT WORTH EL,0.24,8658.582325
ILTEXAS COLLEGE STATION EL,0.43,8494.17682
ILTEXAS ARLINGTON EL,0.35,8932.667132
IDEA WALZEM ACADEMY,0.39,8494.727303
IDEA SOUTH FLORES COLLEGE PREPARAT,0.72,11659.66444
IDEA SOUTH FLORES ACADEMY,0.6,9350.974978
IDEA RUNDBERG ACADEMY,0.43,9375.126393
IDEA RIVERVIEW ACADEMY,0.5,9009.793715
IDEA QUEST COLLEGE PREPARATORY,0.77,12518.10048
IDEA QUEST ACADEMY,0.55,8226.849288
IDEA NORTH MISSION ACADEMY,0.45,9272.964174
IDEA MONTOPOLIS COLLEGE PREPARATOR,0.63,11100.01959
IDEA MONTOPOLIS ACADEMY,0.46,9440.559333
IDEA MONTERREY PARK ACADEMY,0.42,8295.107922
IDEA MCALLEN COLLEGE PREPARATORY,0.79,11184.82725
IDEA MCALLEN ACADEMY,0.55,8425.494483
IDEA FRONTIER COLLEGE PREPARATORY,0.67,11085.27316
IDEA FRONTIER ACADEMY,0.41,8374.497386
IDEA EDINBURG COLLEGE PREPARATORY,0.69,11935.08563
IDEA EDINBURG ACADEMY,0.51,8634.518414
IDEA EASTSIDE ACADEMY,0.34,8993.96121
IDEA COLLEGE PREPARATORY SAN JUAN,0.52,12148.725
IDEA COLLEGE PREPARATORY SAN BENIT,0.6,10542.53598
IDEA COLLEGE PREPARATORY PHARR,0.53,10672.02145
IDEA COLLEGE PREPARATORY MISSION,0.58,11137.76512
IDEA COLLEGE PREPARATORY ALAMO,0.59,10594.8515
IDEA COLLEGE PREP WESLACO,0.6,10551.49529
IDEA COLLEGE PREP,0.56,12210.36156
IDEA CARVER COLLEGE PREPARATORY,0.71,12508.70593
IDEA CARVER ACADEMY,0.54,9762.359505
IDEA BROWNSVILLE COLLEGE PREPARATO,0.63,11758.58408
IDEA BROWNSVILLE ACADEMY,0.55,9793.782874
IDEA ACADEMY WESLACO,0.49,8509.648374
IDEA ACADEMY SAN JUAN,0.43,8814.895344
IDEA ACADEMY SAN BENITO,0.5,8236.140246
IDEA ACADEMY PHARR,0.42,8671.932505
IDEA ACADEMY ALAMO,0.45,8841.672506
IDEA ACADEMY,0.44,9089.110145
HARMONY SCIENCE ACADEMY-SUGAR LAND,0.69,8417.431527
HARMONY SCIENCE ACADEMY-PFLUGERVIL,0.53,9767.440775
HARMONY SCIENCE ACADEMY-KATY,0.66,8494.076925
HARMONY SCIENCE ACADEMY-HOUSTON,0.74,10296.61655
HARMONY SCIENCE ACADEMY- FORT WORT,0.5,8455.045712
HARMONY SCIENCE ACADEMY - LAREDO,0.46,8467.617257
HARMONY SCIENCE ACADEMY - GARLAND,0.41,8364.469136
HARMONY SCIENCE ACADEMY - AUSTIN,0.33,8890.936446
HARMONY SCIENCE ACAD (WACO),0.24,8703.254424
HARMONY SCIENCE ACAD (SAN ANTONIO),0.46,9432.856484
HARMONY SCIENCE ACAD (EL PASO),0.66,10849.40776
HARMONY SCHOOL OF TECHNOLOGY-HOUST,0.51,9518.516292
HARMONY SCHOOL OF INNOVATION-SUGAR,0.84,9984.597905
HARMONY SCHOOL OF INNOVATION- EULE,0.54,8551.185086
HARMONY SCHOOL OF INNOVATION - LAR,0.4,9117.962667
HARMONY SCHOOL OF INNOVATION - FOR,0.65,8602.644002
HARMONY SCHOOL OF INGENUITY-HOUSTO,0.56,10320.04284
HARMONY SCHOOL OF FINE ARTS AND TE,0.37,9708.934856
HARMONY SCHOOL OF EXCELLENCE-HOUST,0.62,8914.937456
HARMONY SCHOOL OF EXCELLENCE - EL,0.49,9050.361282
HARMONY SCHOOL OF ENRICHMENT - HOU,0.47,8269.199542
HARMONY SCHOOL OF DISCOVERY - HOUS,0.59,8974.678501
HARMONY SCHOOL OF ADVANCEMENT-HOUS,0.66,10041.41646
HARMONY SCHOOL OF ACHIEVEMENT - HO,0.6,8561.087496
GREAT HEARTS IRVING,0.72,8901.142293
GOLDEN RULE CHARTER SCHOOL,0.46,9620.158451
GEORGE I SANCHEZ CHARTER,0.17,10933.39453
FOUNDERS CLASSICAL ACADEMY OF MESQ,0.23,8710.374944
FOUNDERS CLASSICAL ACADEMY OF LEAN,0.6,7963.921697
FOUNDERS CLASSICAL ACADEMY - FRISC,0.71,7333.533061
EAST GRAND PREPARATORY ACADEMY,0.32,8565.020501
DRAW ACADEMY,0.3,10004.12327
CUMBERLAND H S,0.53,6979.539032
CUMBERLAND ACADEMY,0.37,6974.063714
CHAPEL HILL ACADEMY,0.36,9736.879444
BOB HOPE SCHOOL,0.52,9351.465317
BETA ACADEMY,0.6,8302.317557
BASIS SAN ANTONIO- PRI NORTH CENTR,0.65,8435.652166
BASIS SAN ANTONIO PRI- MEDICAL CEN,0.75,8541.128646
AUSTIN ACHIEVE,0.31,11891.51093
ACADEMY OF ACCELERATED LEARNING,0.39,9743.685984
A+ ACADEMY EL,0.27,10449.61582
WAYSIDE SCI-TECH MIDDLE AND H S,0.26,11526.46243
WAYSIDE ALTAMIRA ACADEMY,0.24,8786.212351
VARNETT CHARTER SCHOOL,0.34,10960.36714
VANGUARD PICASSO,0.52,8125.693068
VALOR SOUTH AUSTIN,0.52,8646.747277
UPLIFT WILLIAMS PREPARATORY PRI,0.38,10662.57436
UPLIFT WILLIAMS PREPARATORY MIDDLE,0.66,8268.112458
UPLIFT WILLIAMS PREPARATORY H S,0.57,10036.29987
UPLIFT WHITE ROCK HILLS PREP,0.41,9301.457122
UPLIFT TRIUMPH PREPARATORY SCHOOL,0.37,8727.554097
UPLIFT SUMMIT INTERNATIONAL MIDDLE,0.43,8316.451129
UPLIFT SUMMIT INTERNATIONAL H S,0.62,10297.15844
UPLIFT PINNACLE PREPARATORY PRI,0.32,8790.413752
UPLIFT PEAK PREPARATORY MIDDLE,0.38,8337.792726
UPLIFT PEAK PREPARATORY H S,0.52,12580.28372
UPLIFT MIGHTY SCHOOL,0.38,9171.212468
UPLIFT MIGHTY MIDDLE,0.36,8735.056966
UPLIFT MIGHTY H S,0.32,10865.14893
UPLIFT LUNA SECONDARY SCHOOL,0.43,9141.055976
UPLIFT LUNA PREPARATORY PRI,0.45,8775.229407
UPLIFT LUNA PREPARATORY H S,0.44,11992.82323
UPLIFT HEIGHTS PREPARATORY MIDDLE,0.39,9595.694095
UPLIFT HEIGHTS PREPARATORY H S,0.37,9550.632889
UPLIFT HAMPTON PREPARATORY MIDDLE,0.29,8584.749384
UPLIFT GRAND SECONDARY,0.46,8008.666175
UPLIFT GRADUS PREPARATORY,0.33,8577.83274
UPLIFT EDUCATION-NORTH HILLS PREP,0.83,8157.008727
UPLIFT EDUCATION-NORTH HILLS PREP,0.89,11101.51315
UPLIFT EDUCATION - INFINITY PREPAR,0.46,9416.287725
UPLIFT EDUCATIION-NORTH HILLS PREP,0.72,9375.727064
TYLER CLASSICAL ACADEMY,0.5,7715.891532
TRIVIUM ACADEMY,0.59,7646.173693
THE VARNETT SCHOOL - NORTHEAST,0.25,8560.471322
THE EAST AUSTIN COLLEGE PREP AT ML,0.32,11732.5161
TEXAS LEADERSHIP OF MIDLAND,0.19,8791.276194
TEXAS LEADERSHIP OF ARLINGTON,0.28,9686.673104
TEXAS LEADERSHIP OF ABILENE,0.38,8725.579191
ST MARY'S ACADEMY CHARTER SCHOOL,0.45,11029.16512
SOUTHWEST SCHOOLS BISSONNET EL CAM,0.53,10012.48211
SER-NINOS CHARTER EL,0.43,9294.270116
SCHOOL OF SCIENCE AND TECHNOLOGY H,0.37,9357.605622
SCHOOL OF SCIENCE AND TECHNOLOGY D,0.53,9561.643034
SCHOOL OF SCIENCE AND TECHNOLOGY -,0.65,8972.547898
SCHOOL OF SCIENCE AND TECHNOLOGY,0.64,10093.3764
SARAH STRINDEN EL,0.59,8001.544564
RICHLAND COLLEGIATE H S OF MATH SC,0.86,8099.989865
MIDLAND ACADEMY CHARTER SCHOOL,0.55,8784.312057
MANARA ACADEMY,0.4,10482.4133
MAINLAND PREPARATORY ACADEMY,0.31,8509.93697
MAGNOLIA MONTESSORI FOR ALL,0.42,9521.391685
LIFE SCHOOL MOUNTAIN CREEK,0.35,9216.278762
LIFE SCHOOL LANCASTER,0.25,9688.463112
LIFE MIDDLE WAXAHACHIE,0.42,10083.41997
KIPP TRUTH EL,0.22,10562.8148
KIPP TRUTH ACADEMY,0.34,9874.619938
KIPP SUNNYSIDE H S,0.49,12007.73228
KIPP SPIRIT COLLEGE PREP,0.36,11972.28926
KIPP SHARPSTOWN COLEGE PREP,0.58,11981.73634
KIPP PODER ACADEMY,0.49,9197.686776
KIPP PLEASANT GROVE PRI,0.38,9818.328124
KIPP LIBERATION COLLEGE PREPARATOR,0.37,11822.17122
KIPP INTREPID PREPARATORY,0.5,11621.26452
KIPP DESTINY MIDDLE,0.3,9939.0238
KIPP DESTINY EL,0.19,9805.569771
KIPP CONNECT MIDDLE,0.64,10965.81828
KIPP CAMINO ACADEMY,0.37,10206.26999
KIPP AUSTIN VISTA MIDDLE SCHOOLS,0.43,10825.42243
KIPP AUSTIN OBRAS,0.43,10149.19857
KIPP AUSTIN LEADERSHIP EL,0.37,10761.76953
KIPP AUSTIN CONNECTIONS EL,0.39,10650.64471
KIPP AUSTIN COMUNIDAD,0.36,10099.07483
KIPP AUSTIN COLLEGE PREP,0.51,10547.71375
KIPP AUSTIN BRAVE,0.55,11570.5622
KIPP AUSTIN BEACON PREP,0.47,10202.93708
KIPP AUSTIN ACADEMY OF ARTS & LETT,0.49,11610.56682
KIPP ASPIRE ACADEMY,0.36,9630.260862
KIPP ACADEMY WEST MIDDLE,0.56,10628.09557
KIPP ACADEMY MIDDLE,0.58,10609.82319
KIPP 3D ACADEMY,0.54,11503.88934
JUBILEE - LAKE VIEW UNIVERSITY PRE,0.17,9687.960982
INSPIRED VISION ACADEMY SECONDARY,0.29,10867.89837
ILTEXAS WESTPARK MIDDLE,0.37,6869.415744
ILTEXAS NORTH RICHLAND HILLS MIDDL,0.43,7327.046223
ILTEXAS LANCASTER MIDDLE,0.3,7624.516567
ILTEXAS KELLER SAGINAW H S,0.65,10740.13625
ILTEXAS KELLER MIDDLE,0.62,7114.558485
ILTEXAS HOUSTON WINDMILL LAKES MID,0.32,7673.903306
ILTEXAS GRAND PRAIRIE MIDDLE,0.4,6799.681798
ILTEXAS GARLAND MIDDLE,0.44,7435.191831
ILTEXAS ARLINGTON-GRAND PRAIRIE H,0.62,11721.61319
IDEA WESLACO PIKE COLLEGE PREPARAT,0.67,11003.34707
IDEA WALZEM COLLEGE PREPARATORY,0.46,11512.18404
IDEA RUNDBERG COLLEGE PREPARATORY,0.54,10143.52798
IDEA RIVERVIEW COLLEGE PREPARATORY,0.6,10767.69205
IDEA RIO GRANDE CITY ACADEMY,0.51,8747.669876
IDEA NORTH MISSION COLLEGE PREPARA,0.52,10868.52543
IDEA NAJIM ACADEMY,0.35,7745.575279
IDEA MONTERREY PARK COLLEGE PREPAR,0.56,9984.217993
IDEA MAYS ACADEMY,0.48,9768.108319
IDEA JUDSON ACADEMY,0.43,9396.856096
IDEA EASTSIDE COLLEGE PREPARATORY,0.5,11528.48723
IDEA BLUFF SPRINGS ACADEMY,0.36,10194.75393
HOWARD BURNHAM EL,0.58,8417.1809
HOUSTON CAN ACADEMY - NORTH,0.15,9161.297862
HORIZON MONTESSORI,0.47,9544.296527
HARMONY SCIENCE ACADEMY- BEAUMONT,0.43,9577.845733
HARMONY SCIENCE ACADEMY - PLANO,0.44,10016.54205
HARMONY SCIENCE ACADEMY - ODESSA,0.38,9412.151148
HARMONY SCIENCE ACADEMY - LUBBOCK,0.47,12168.49637
HARMONY SCIENCE ACADEMY - GRAND PR,0.44,9551.381058
HARMONY SCIENCE ACADEMY - EULESS,0.62,9908.028914
HARMONY SCIENCE ACADEMY - CEDAR PA,0.58,9759.549453
HARMONY SCIENCE ACADEMY - CARROLLT,0.69,9991.601599
HARMONY SCIENCE ACADEMY - BROWNSVI,0.38,9314.269878
HARMONY SCHOOL OF SCIENCE - AUSTIN,0.51,9363.01182
HARMONY SCHOOL OF NATURE AND ATHLE,0.38,10826.63738
HARMONY SCHOOL OF INNOVATION - WAC,0.39,9189.397777
HARMONY SCHOOL OF INNOVATION - SAN,0.35,10195.14297
HARMONY SCHOOL OF INNOVATION - KAT,0.78,9441.116149
HARMONY SCHOOL OF INNOVATION - HOU,0.55,11370.33264
HARMONY SCHOOL OF INNOVATION - GRA,0.42,10908.21642
HARMONY SCHOOL OF INNOVATION - GAR,0.59,8854.301853
HARMONY SCHOOL OF INNOVATION - CAR,0.44,8485.26611
HARMONY SCHOOL OF INNOVATION - BRO,0.54,11088.13886
HARMONY SCHOOL OF INNOVATION - AUS,0.38,9505.55022
HARMONY SCHOOL OF EXPLORATION- HOU,0.47,10274.8674
HARMONY SCHOOL OF EXCELLENCE - SUG,0.7,10108.34777
HARMONY SCHOOL OF EXCELLENCE - SAN,0.43,9927.521981
HARMONY SCHOOL OF EXCELLENCE - LAR,0.67,10292.14477
HARMONY SCHOOL OF EXCELLENCE - AUS,0.46,10894.65269
HARMONY SCHOOL OF ENDEAVOR-HOUSTON,0.39,10195.13088
HARMONY SCHOOL OF ENDEAVOR AUSTIN,0.62,9860.715822
GREAT HEARTS WESTERN HILLS,0.3,8366.792704
GREAT HEARTS MONTE VISTA NORTH,0.68,9528.448776
GREAT HEARTS MONTE VISTA,0.67,9276.2101
GATEWAY CHARTER ACADEMY,0.32,7871.840807
FRANK L MADLA ACCELERATED COLLEGIA,0.25,10344.82291
FOUNDERS CLASSICAL ACADEMY OF SCHE,0.44,7390.216239
FOUNDERS CLASSICAL ACADEMY OF FLOW,0.64,6832.22048
FORT WORTH CAN ACADEMY LANCASTER A,0.16,10955.03954
EHRHART SCHOOL,0.43,8645.225581
DAVINCI SCHOOL FOR SCIENCE AND THE,0.52,11458.65982
DALLAS CAN ACADEMY CHARTER-OAK CLI,0.15,10326.70115
DALLAS CAN ACADEMY AT PLEASANT GRO,0.12,10359.63563
CUMBERLAND ACADEMY MIDDLE,0.44,7871.934799
CORINTH CLASSICAL UPPER SCHOOL,0.73,7568.459612
BOB HOPE SCHOOL - EL CAMPUS,0.56,10323.84042
BEATRICE MAYES INSTITUTE CHARTER S,0.48,8924.538961
AUSTIN DISCOVERY SCH,0.42,8088.885827
AUSTIN CAN ACADEMY,0.17,11569.64303
AUDRE AND BERNARD RAPOPORT ACADEMY,0.38,9388.370813
ARLINGTON CLASSICS ACADEMY -INTERM,0.64,7056.628269
ARLINGTON CLASSICS ACADEMY - MIDDL,0.72,7342.792716
ARISTOI CLASSICAL UPPER SCHOOL,0.51,8029.082016
ARISTOI CLASSICAL ACADEMY,0.5,6840.73784
ANNE FRANK INSPIRE ACADEMY,0.42,11034.01648
AMIGOS POR VIDA-FRIENDS FOR LIFE C,0.56,9480.919028
AMARILLO COLLEGIATE ACADEMY,0.63,7166.159825
ACADEMY OF DALLAS,0.34,9890.531828
A+ SECONDARY SCHOOL,0.41,9776.606113
YES PREP - NORTHLINE,0.37,12548.06761
YELLOWSTONE COLLEGE PREPARATORY,0.18,9640.162996
WINFREE ACADEMY NORTH RICHLAND HIL,0.25,7342.305439
WINFREE ACADEMY CHARTER SCHOOL (RI,0.26,6314.832005
WINFREE ACADEMY CHARTER SCHOOL - G,0.17,8364.528699
WAYSIDE EDEN PARK ACADEMY,0.54,9857.534573
WACO CHARTER SCHOOL,0.25,10416.54717
VISTA DEL FUTURO CHARTER SCHOOL,0.63,9369.180328
VISTA ACADEMY OF THE WOODLANDS,0.41,8129.38352
VISTA ACADEMY OF HUNTSVILLE,0.4,8626.662796
VISTA ACADEMY OF HUMBLE,0.42,8692.599154
VISTA ACADEMY OF GARLAND,0.38,10773.27038
UT TYLER UNIVERSITY ACADEMY AT TYL,0.57,9375.968428
UT TYLER UNIVERSITY ACADEMY AT LON,0.73,7789.549406
UPLIFT INFINITY H S,0.59,11352.92782
UPLIFT GRAND H S,0.64,12478.2201
UPLIFT EDUCATION - INFINITY PREPAR,0.48,8616.508117
UNIVERSITY OF TEXAS EL CHARTER SCH,0.53,10008.09732
UME PREPARATORY ACADEMY - DUNCANVI,0.45,6966.59265
TWO DIMENSIONS/VICKERY,0.35,9537.395813
TWO DIMENSIONS PREPARATORY ACADEMY,0.19,9944.963539
TREETOPS SCHOOL INTERNATIONAL,0.64,7996.810742
THE VARNETT SCHOOL - EAST,0.31,9190.124374
THE RHODES SCHOOL - SOUTHEAST,0.37,8344.956205
THE PRO-VISION ACADEMY,0.11,11639.76409
THE LAWSON ACADEMY,0.24,11439.76991
THE EXCEL CENTER (FOR ADULTS),0.25,7321.48842
