"","country_name","country_text_id","country_id","v2xcs_ccsi","v2x_gencs","v2xcl_prpty","v2clprptyw","v2clprptym"
"230","Mexico","MEX",3,0.86,0.818,0.818,1.539,1.667
"353","Suriname","SUR",4,0.93,0.823,0.855,1.817,1.802
"587","Sweden","SWE",5,0.976,0.858,0.941,2.336,2.716
"812","Switzerland","CHE",6,0.956,0.877,0.938,2.613,2.308
"933","Ghana","GHA",7,0.96,0.775,0.868,1.819,1.966
"1056","South Africa","ZAF",8,0.936,0.839,0.757,1.077,1.531
"1290","Japan","JPN",9,0.953,0.701,0.921,2.529,2.069
"1524","Burma/Myanmar","MMR",10,0.628,0.651,0.423,0.297,-0.21
"1758","Russia","RUS",11,0.33,0.7,0.922,2.454,2.172
"1869","Albania","ALB",12,0.838,0.767,0.786,1.025,1.837
"2103","Egypt","EGY",13,0.174,0.199,0.647,0.54,1.168
"2270","Yemen","YEM",14,0.27,0.153,0.364,-0.356,0.012
"2504","Colombia","COL",15,0.84,0.811,0.672,1.008,0.884
"2672","Poland","POL",17,0.72,0.784,0.882,2.212,1.745
"2906","Brazil","BRA",19,0.826,0.785,0.88,2.048,1.914
"3140","United States of America","USA",20,0.975,0.835,0.925,2.78,1.896
"3374","Portugal","PRT",21,0.929,0.91,0.939,2.734,2.231
"3559","El Salvador","SLV",22,0.893,0.735,0.794,1.738,1.212
"3702","Bangladesh","BGD",24,0.623,0.579,0.817,1.605,1.533
"3900","Bolivia","BOL",25,0.754,0.692,0.72,1.374,0.902
"4134","Haiti","HTI",26,0.735,0.427,0.428,-0.023,0.143
"4319","Honduras","HND",27,0.894,0.736,0.843,1.525,1.941
"4442","Mali","MLI",28,0.875,0.621,0.701,1.152,0.95
"4518","Pakistan","PAK",29,0.575,0.456,0.718,1.234,1.002
"4752","Peru","PER",30,0.893,0.826,0.775,1.541,1.209
"4871","Senegal","SEN",31,0.918,0.753,0.72,0.943,1.348
"4883","South Sudan","SSD",32,0.05,0.49,0.137,-1.47,-0.923
"5006","Sudan","SDN",33,0.28,0.288,0.315,-0.269,-0.415
"5084","Vietnam","VNM",34,0.315,0.734,0.67,1.089,0.777
