"","country_name","country_text_id","country_id","v2x_delibdem","v2x_egaldem","v2x_libdem","v2x_partipdem","v2x_polyarchy","e_miinteco","e_miinterc"
"230","Mexico","MEX",3,0.467,0.375,0.448,0.426,0.671,NA,NA
"353","Suriname","SUR",4,0.625,0.564,0.624,0.484,0.764,NA,NA
"587","Sweden","SWE",5,0.872,0.836,0.885,0.659,0.916,NA,NA
"812","Switzerland","CHE",6,0.88,0.839,0.872,0.812,0.91,NA,NA
"933","Ghana","GHA",7,0.634,0.549,0.63,0.387,0.739,NA,NA
"1056","South Africa","ZAF",8,0.633,0.472,0.62,0.48,0.731,NA,NA
"1290","Japan","JPN",9,0.747,0.771,0.762,0.554,0.849,NA,NA
"1524","Burma/Myanmar","MMR",10,0.324,0.24,0.249,0.255,0.405,NA,NA
"1758","Russia","RUS",11,0.148,0.209,0.111,0.159,0.268,NA,NA
"1869","Albania","ALB",12,0.255,0.355,0.414,0.302,0.498,NA,NA
"2103","Egypt","EGY",13,0.092,0.092,0.113,0.061,0.176,NA,NA
"2270","Yemen","YEM",14,0.026,0.029,0.038,0.07,0.112,NA,NA
"2504","Colombia","COL",15,0.492,0.347,0.537,0.47,0.672,NA,NA
"2672","Poland","POL",17,0.472,0.597,0.531,0.453,0.688,NA,NA
"2906","Brazil","BRA",19,0.45,0.411,0.604,0.466,0.742,NA,NA
"3140","United States of America","USA",20,0.623,0.633,0.729,0.58,0.813,NA,NA
"3374","Portugal","PRT",21,0.853,0.817,0.856,0.642,0.902,NA,NA
"3559","El Salvador","SLV",22,0.422,0.307,0.438,0.402,0.641,NA,NA
"3702","Bangladesh","BGD",24,0.099,0.101,0.103,0.123,0.26,NA,NA
"3900","Bolivia","BOL",25,0.424,0.406,0.348,0.441,0.603,NA,NA
"4134","Haiti","HTI",26,0.269,0.121,0.247,0.248,0.411,NA,NA
"4319","Honduras","HND",27,0.263,0.155,0.243,0.245,0.372,NA,NA
"4442","Mali","MLI",28,0.408,0.324,0.313,0.318,0.527,NA,NA
"4518","Pakistan","PAK",29,0.329,0.149,0.269,0.263,0.402,NA,NA
"4752","Peru","PER",30,0.607,0.523,0.692,0.604,0.801,NA,NA
"4871","Senegal","SEN",31,0.565,0.518,0.551,0.394,0.702,NA,NA
"4883","South Sudan","SSD",32,0.051,0.028,0.05,0.073,0.156,NA,NA
"5006","Sudan","SDN",33,0.096,0.1,0.102,0.096,0.271,NA,NA
"5084","Vietnam","VNM",34,0.187,0.196,0.118,0.168,0.151,NA,NA
"5492","Afghanistan","AFG",36,0.296,0.191,0.203,0.169,0.354,NA,NA
"5726","Argentina","ARG",37,0.558,0.598,0.619,0.515,0.767,NA,NA
"5960","Ethiopia","ETH",38,0.244,0.221,0.139,0.112,0.273,NA,NA
"6194","India","IND",39,0.359,0.292,0.37,0.299,0.488,NA,NA
"6317","Kenya","KEN",40,0.369,0.304,0.368,0.327,0.464,NA,NA
"6395","North Korea","PRK",41,0.01,0.087,0.014,0.044,0.087,NA,NA
"6629","South Korea","KOR",42,0.794,0.755,0.805,0.604,0.866,NA,NA
"6653","Kosovo","XKX",43,0.415,0.417,0.432,0.359,0.616,NA,NA
"6758","Lebanon","LBN",44,0.299,0.244,0.282,0.264,0.447,NA,NA
"6867","Nigeria","NGA",45,0.411,0.321,0.398,0.376,0.563,NA,NA
"6990","Philippines","PHL",46,0.401,0.235,0.317,0.325,0.483,NA,NA
"7099","Tanzania","TZA",47,0.338,0.333,0.339,0.267,0.397,NA,NA
"7222","Taiwan","TWN",48,0.744,0.753,0.737,0.668,0.845,NA,NA
"7456","Thailand","THA",49,0.04,0.145,0.108,0.099,0.164,NA,NA
"7579","Uganda","UGA",50,0.272,0.175,0.219,0.218,0.3,NA,NA
"7803","Venezuela","VEN",51,0.038,0.132,0.071,0.16,0.216,NA,NA
"7926","Benin","BEN",52,0.44,0.471,0.489,0.404,0.622,NA,NA
"8049","Bhutan","BTN",53,0.515,0.485,0.49,0.35,0.579,NA,NA
"8138","Burkina Faso","BFA",54,0.545,0.456,0.472,0.409,0.676,NA,NA
"8261","Cambodia","KHM",55,0.067,0.087,0.073,0.136,0.214,NA,NA
"8484","Indonesia","IDN",56,0.531,0.381,0.473,0.41,0.609,NA,NA
"8607","Mozambique","MOZ",57,0.271,0.259,0.274,0.254,0.397,NA,NA
"8841","Nepal","NPL",58,0.431,0.428,0.512,0.419,0.627,NA,NA
"9026","Nicaragua","NIC",59,0.03,0.118,0.053,0.142,0.231,NA,NA
"9127","Niger","NER",60,0.494,0.377,0.402,0.31,0.536,NA,NA
"9239","Zambia","ZMB",61,0.307,0.241,0.263,0.245,0.348,NA,NA
"9362","Zimbabwe","ZWE",62,0.215,0.189,0.214,0.243,0.305,NA,NA
"9485","Guinea","GIN",63,0.154,0.204,0.16,0.234,0.366,NA,NA
"9608","Ivory Coast","CIV",64,0.505,0.36,0.361,0.387,0.556,NA,NA
"9727","Mauritania","MRT",65,0.266,0.133,0.158,0.227,0.395,NA,NA
"9909","Canada","CAN",66,0.761,0.733,0.759,0.593,0.839,NA,NA
"10143","Australia","AUS",67,0.808,0.76,0.832,0.636,0.874,NA,NA
"10266","Botswana","BWA",68,0.572,0.489,0.582,0.425,0.684,NA,NA
"10373","Burundi","BDI",69,0.053,0.105,0.043,0.149,0.158,NA,NA
"10496","Cape Verde","CPV",70,0.634,0.619,0.706,0.483,0.784,NA,NA
"10599","Central African Republic","CAF",71,0.23,0.202,0.253,0.181,0.409,NA,NA
"10833","Chile","CHL",72,0.781,0.663,0.81,0.578,0.87,NA,NA
"11018","Costa Rica","CRI",73,0.835,0.799,0.842,0.661,0.894,NA,NA
"11141","Timor-Leste","TLS",74,0.481,0.42,0.494,0.406,0.675,NA,NA
"11334","Ecuador","ECU",75,0.494,0.448,0.473,0.457,0.652,NA,NA
"11568","France","FRA",76,0.813,0.781,0.803,0.612,0.879,NA,NA
"11798","Germany","DEU",77,0.842,0.82,0.833,0.635,0.879,NA,NA
"12032","Guatemala","GTM",78,0.302,0.257,0.421,0.349,0.589,NA,NA
"12266","Iran","IRN",79,0.159,0.193,0.149,0.056,0.207,NA,NA
"12369","Iraq","IRQ",80,0.284,0.202,0.249,0.255,0.399,NA,NA
"12473","Ireland","IRL",81,0.8,0.786,0.822,0.644,0.886,NA,NA
"12635","Italy","ITA",82,0.796,0.791,0.792,0.679,0.868,NA,NA
"12736","Jordan","JOR",83,0.214,0.237,0.242,0.121,0.262,NA,NA
"12789","Latvia","LVA",84,0.666,0.711,0.74,0.584,0.825,NA,NA
"12912","Lesotho","LSO",85,0.469,0.479,0.444,0.381,0.6,NA,NA
"13114","Liberia","LBR",86,0.441,0.408,0.452,0.344,0.629,NA,NA
