"","country_name","country_text_id","country_id","v2x_delibdem","v2x_egaldem","v2x_libdem","v2x_partipdem","v2x_polyarchy","v2xcl_prpty","v2clprptyw","v2clprptym","v2exl_legitideol","v2exl_legitlead","v2clacjstm","v2clacjstw"
"230","Mexico","MEX",3,0.467,0.375,0.448,0.426,0.671,0.818,1.539,1.667,-0.514,-0.43,-0.522,-0.397
"353","Suriname","SUR",4,0.625,0.564,0.624,0.484,0.764,0.855,1.817,1.802,0.003,0.79,1.296,1.331
"587","Sweden","SWE",5,0.872,0.836,0.885,0.659,0.916,0.941,2.336,2.716,-1.803,-2.937,2.706,3.069
"812","Switzerland","CHE",6,0.88,0.839,0.872,0.812,0.91,0.938,2.613,2.308,-2.884,-2.135,3.238,3.428
"933","Ghana","GHA",7,0.634,0.549,0.63,0.387,0.739,0.868,1.819,1.966,-1.343,-0.864,2.062,1.727
"1056","South Africa","ZAF",8,0.633,0.472,0.62,0.48,0.731,0.757,1.077,1.531,0.058,-0.063,1.821,1.676
"1290","Japan","JPN",9,0.747,0.771,0.762,0.554,0.849,0.921,2.529,2.069,-0.404,-1.739,2.84,2.563
"1524","Burma/Myanmar","MMR",10,0.324,0.24,0.249,0.255,0.405,0.423,0.297,-0.21,-0.431,0.788,0.062,0.441
"1758","Russia","RUS",11,0.148,0.209,0.111,0.159,0.268,0.922,2.454,2.172,0.909,2.156,-0.514,-0.188
"1869","Albania","ALB",12,0.255,0.355,0.414,0.302,0.498,0.786,1.025,1.837,-0.531,0.056,1.366,1.595
"2103","Egypt","EGY",13,0.092,0.092,0.113,0.061,0.176,0.647,0.54,1.168,0.339,1.403,0.624,-0.175
"2270","Yemen","YEM",14,0.026,0.029,0.038,0.07,0.112,0.364,-0.356,0.012,1.66,1.582,-1.604,-1.49
"2504","Colombia","COL",15,0.492,0.347,0.537,0.47,0.672,0.672,1.008,0.884,0.23,-1.776,0.296,0.492
"2672","Poland","POL",17,0.472,0.597,0.531,0.453,0.688,0.882,2.212,1.745,0.853,-0.487,1.11,1.313
"2906","Brazil","BRA",19,0.45,0.411,0.604,0.466,0.742,0.88,2.048,1.914,-1.337,-1.731,1.083,0.677
"3140","United States of America","USA",20,0.623,0.633,0.729,0.58,0.813,0.925,2.78,1.896,1.495,1.323,1.948,1.814
"3374","Portugal","PRT",21,0.853,0.817,0.856,0.642,0.902,0.939,2.734,2.231,-2.502,-2.761,1.897,1.784
"3559","El Salvador","SLV",22,0.422,0.307,0.438,0.402,0.641,0.794,1.738,1.212,-0.905,-2.439,-0.684,-0.593
"3702","Bangladesh","BGD",24,0.099,0.101,0.103,0.123,0.26,0.817,1.605,1.533,1.727,2.465,-0.41,-0.316
"3900","Bolivia","BOL",25,0.424,0.406,0.348,0.441,0.603,0.72,1.374,0.902,1.653,1.694,0.125,0.117
"4134","Haiti","HTI",26,0.269,0.121,0.247,0.248,0.411,0.428,-0.023,0.143,-1.875,0.911,-0.867,-0.762
"4319","Honduras","HND",27,0.263,0.155,0.243,0.245,0.372,0.843,1.525,1.941,-1.231,-2.009,-0.407,-0.756
"4442","Mali","MLI",28,0.408,0.324,0.313,0.318,0.527,0.701,1.152,0.95,-1.042,-0.179,0.608,0.534
"4518","Pakistan","PAK",29,0.329,0.149,0.269,0.263,0.402,0.718,1.234,1.002,-0.889,0.817,-0.554,-0.565
"4752","Peru","PER",30,0.607,0.523,0.692,0.604,0.801,0.775,1.541,1.209,-1.588,-2.098,0.614,0.476
"4871","Senegal","SEN",31,0.565,0.518,0.551,0.394,0.702,0.72,0.943,1.348,0.05,0.164,1.819,1.682
"4883","South Sudan","SSD",32,0.051,0.028,0.05,0.073,0.156,0.137,-1.47,-0.923,-0.757,-1.101,-1.476,-1.263
"5006","Sudan","SDN",33,0.096,0.1,0.102,0.096,0.271,0.315,-0.269,-0.415,1.144,-0.372,-1.347,-0.671
"5084","Vietnam","VNM",34,0.187,0.196,0.118,0.168,0.151,0.67,1.089,0.777,1.589,-0.734,-0.489,-0.003
"5492","Afghanistan","AFG",36,0.296,0.191,0.203,0.169,0.354,0.535,-0.124,1.015,-0.701,0.369,-1.401,-0.635
"5726","Argentina","ARG",37,0.558,0.598,0.619,0.515,0.767,0.922,2.345,2.251,-1.627,-2.61,0.776,0.863
